Stadium,Location,Years hosted
Caesars Superdome,"New Orleans, Louisiana","1978, 1981, 1986, 1990, 1997, 2002, 2013, 2025"
Hard Rock Stadium,"Miami Gardens, Florida[‡]","1989, 1995, 1999, 2007, 2010, 2020"
Orange Bowl[^],"Miami, Florida","1968, 1969, 1971, 1976, 1979"
Rose Bowl,"Pasadena, California","1977, 1980, 1983, 1987, 1993"
Tulane Stadium[^],"New Orleans, Louisiana","1970, 1972, 1975"
San Diego Stadium [^],"San Diego, California","1988, 1998, 2003"
Raymond James Stadium,"Tampa, Florida","2001, 2009, 2021"
State Farm Stadium,"Glendale, Arizona","2008, 2015, 2023"
Los Angeles Memorial Coliseum,"Los Angeles, California","1967, 1973"
Tampa Stadium[^],"Tampa, Florida","1984, 1991"
Georgia Dome[^],"Atlanta, Georgia","1994, 2000"
NRG Stadium,"Houston, Texas","2004, 2017"
Rice Stadium,"Houston, Texas",1974
Pontiac Silverdome[^],"Pontiac, Michigan",1982
Stanford Stadium[††],"Stanford, California",1985
Hubert H. Humphrey Metrodome[^],"Minneapolis, Minnesota",1992
Sun Devil Stadium,"Tempe, Arizona",1996
Everbank Stadium,"Jacksonville, Florida",2005
Ford Field,"Detroit, Michigan",2006
AT&T Stadium,"Arlington, Texas",2011
Lucas Oil Stadium,"Indianapolis, Indiana",2012
MetLife Stadium,"East Rutherford, New Jersey",2014
Levi's Stadium,"Santa Clara, California","2016, 2026[ˇ]"
U.S. Bank Stadium,"Minneapolis, Minnesota",2018
Mercedes-Benz Stadium,"Atlanta, Georgia","2019, 2028[ˇ]"
SoFi Stadium,"Inglewood, California","2022, 2027[ˇ]"
Allegiant Stadium,"Paradise, Nevada",2024
